Indent level,ID,Name,Data type,Repeatable,Description,Legal Status,Level,Element,2019 form,2015 form
++,BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,2,8
++,BT-01,Procedure Legal Basis,Code,No,"The legal basis (e.g. a European Directive or Regulation, national law) under which the procurement procedure takes place.",M,new term overall,,3,8
++,BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,1,8
++,BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,2,8
++,BT-03,Form Type,Code,No,The type of form according to procurement legislation.,M,new term overall,,3,8
++,BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,1,8
++,BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,2,8
++,BT-02,Notice Type,Code,No,The type of notice according to procurement legislation.,M,new term overall,,3,8
++,BT-05,Notice Dispatch Date,Date,No,The date and time when the notice has been sent to TED.,M,new term,,1,8
++,BT-05,Notice Dispatch Date,Date,No,The date and time when the notice has been sent to TED.,M,new term,,2,8
++,BT-05,Notice Dispatch Date,Date,No,The date and time when the notice has been sent to TED.,M,new term,,3,8
++,BT-738,Notice Publication Date Preferred,Date,No,The preferred date of publication of the notice on TED (e.g. to avoid publication during a national holiday). ,O,new term overall,,1,8
++,BT-738,Notice Publication Date Preferred,Date,No,The preferred date of publication of the notice on TED (e.g. to avoid publication during a national holiday). ,O,new term overall,,2,8
++,BT-738,Notice Publication Date Preferred,Date,No,The preferred date of publication of the notice on TED (e.g. to avoid publication during a national holiday). ,O,new term overall,,3,8
++,BT-702,Notice Official Language,Code,Yes,The language(s) in which this notice is officially available. These linguistic versions are equally legally valid.,M,new term overall,,1,8
++,BT-702,Notice Official Language,Code,Yes,The language(s) in which this notice is officially available. These linguistic versions are equally legally valid.,M,new term overall,,2,8
++,BT-702,Notice Official Language,Code,Yes,The language(s) in which this notice is officially available. These linguistic versions are equally legally valid.,M,new term overall,,3,8
++,BT-1371,Previous Planning Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of a prior information notice used only for information, the identifier of a part of the notice that may later become a lot or a self-standing procedure. The information in the previous planning section refers to this lot (or part) or these lots (or parts).",CM,new term overall,,1,8
++,BT-1371,Previous Planning Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of a prior information notice used only for information, the identifier of a part of the notice that may later become a lot or a self-standing procedure. The information in the previous planning section refers to this lot (or part) or these lots (or parts).",CM,new term overall,,2,8
++,BT-1371,Previous Planning Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of a prior information notice used only for information, the identifier of a part of the notice that may later become a lot or a self-standing procedure. The information in the previous planning section refers to this lot (or part) or these lots (or parts).",CM,new term overall,,3,8
++,BT-125,Previous Planning Identifier,Identifier,No,The identifier of a prior information notice or another similar notice related to this notice.,O,new term,,1,8
++,BT-125,Previous Planning Identifier,Identifier,No,The identifier of a prior information notice or another similar notice related to this notice.,O,new term,,2,8
++,BT-125,Previous Planning Identifier,Identifier,No,The identifier of a prior information notice or another similar notice related to this notice.,O,new term,,3,8
++,BT-1251,Previous Planning Part Identifier,Identifier,Yes,The identifier of a part of a prior information notice or another similar notice related to this notice.,O,new term overall,,1,8
++,BT-1251,Previous Planning Part Identifier,Identifier,Yes,The identifier of a part of a prior information notice or another similar notice related to this notice.,O,new term overall,,2,8
++,BT-1251,Previous Planning Part Identifier,Identifier,Yes,The identifier of a part of a prior information notice or another similar notice related to this notice.,O,new term overall,,3,8
++,BT-13720,Organisation Notice Section Identifier,Identifier,Yes,An identifier of one or more sections within this notice. The information in the organisation section refers to this section or these sections.,CM,new term overall,,1,8
++,BT-13720,Organisation Notice Section Identifier,Identifier,Yes,An identifier of one or more sections within this notice. The information in the organisation section refers to this section or these sections.,CM,new term overall,,2,8
++,BT-13720,Organisation Notice Section Identifier,Identifier,Yes,An identifier of one or more sections within this notice. The information in the organisation section refers to this section or these sections.,CM,new term overall,,3,8
++,BT-500,Organisation Name,Text,No,The official name of the organisation.,CM,I.1.1,Official name,1,8
++,BT-500,Organisation Name,Text,No,The official name of the organisation.,CM,I.1.1,Official name,2,8
++,BT-500,Organisation Name,Text,No,The official name of the organisation.,CM,I.1.1,Official name,3,8
++,BT-501,Organisation Identifier,Identifier,Yes,An identifier of the organisation. All of the organisation's identifiers shall be given.,O,I.1.2,National registration number,1,8
++,BT-501,Organisation Identifier,Identifier,Yes,An identifier of the organisation. All of the organisation's identifiers shall be given.,O,I.1.2,National registration number,2,8
++,BT-501,Organisation Identifier,Identifier,Yes,An identifier of the organisation. All of the organisation's identifiers shall be given.,O,I.1.2,National registration number,3,8
++,BT-16,Organisation Part Name,Text,No,The name of a part of an organisation (e.g. the relevant department of a large buyer).,O,new term overall,,1,8
++,BT-16,Organisation Part Name,Text,No,The name of a part of an organisation (e.g. the relevant department of a large buyer).,O,new term overall,,2,8
++,BT-16,Organisation Part Name,Text,No,The name of a part of an organisation (e.g. the relevant department of a large buyer).,O,new term overall,,3,8
