Indent level,ID,Name,Data type,Repeatable,Description,Legal Status,Level,Element,eformsNotice,sfNotice
++++,BT-541,            Award Criterion Number,Number,No,A number linked to an award criterion.,O,new term,,11,4
++++,BT-5421,            Award Criterion Number Weight,Code,No,Whether the number linked to an award criterion is a type of weight (e.g. a percentage).,O,II.2.5.1.1,Quality criterion – Name: / Weighting:,11,4
++++,BT-5421,            Award Criterion Number Weight,Code,No,Whether the number linked to an award criterion is a type of weight (e.g. a percentage).,O,II.2.5.1.2,Cost criterion – Name: / Weighting:,11,4
++++,BT-5421,            Award Criterion Number Weight,Code,No,Whether the number linked to an award criterion is a type of weight (e.g. a percentage).,O,II.2.5.1.3,Price – Weighting,11,4
++++,BT-5422,            Award Criterion Number Fixed,Code,No,"Whether the number linked to an award criterion is a fixed value (e.g. a fixed price, a fixed cost).",O,new term,,11,4
++++,BT-5423,            Award Criterion Number Threshold,Code,No,"Whether the number linked to an award criterion is a type of threshold (e.g. a minimum score, a maximum number of tenders with the highest score passing).",O,new term,,11,4
++,BT-543,    Award Criteria Complicated,Text,No,"The mathematical equation or any other description used for complicated weighing of criteria (e.g. non-linear weighing, the analytic hierarchy process) when a weighing cannot be expressed per criterion. ",O,new term,,11,4
++,BT-733,    Award Criteria Order Justification,Text,No,"The justification for only indicating the award criteria's order of importance, not their weighing.",O,new term,,11,4
+,BG-706,Techniques,-,Yes,"Information about the use of sets of techniques such as framework agreements without reopening of competition, framework agreements with reopening of competition, dynamic purchasing systems, and electronic auctions. This information may differ per lot. In case of a prior information notice used only for information, this information may differ per part of the notice that may later become a lot or a self-standing procedure.",M,---,,11,4
++,BT-13711,    Techniques Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures.  The information in the techniques section refers to this lot (or part) or these lots (or parts).",CM,new term overall,,11,4
++,BT-765,    Framework Agreement,Code,No,"Whether a framework agreement with, without, or with and without the reopening of competition is involved.",M,IV.1.3.1,The procurement involves the establishment of a framework agreement,11,4
++,BT-778,    Framework Maximum Participants,Indicator,No,There is a maximum number of participants in the framework agreement.,O,new term overall,,11,4
++,BT-113,    Framework Maximum Participants Number,Number,No,The maximum number of participants in the framework agreement.,O,IV.1.3.1.3,Envisaged maximum number of participants to the framework agreement,11,4
++,BT-109,    Framework Duration Justification,Text,No,"The justification for exceptional cases when the duration of framework agreements exceeds the legal limits. (Four years in the case of the general procurement Directive, seven years in the case of the defence Directive, and eight years in the case of the sectoral Directive.)",O,IV.1.3.3,"In the case of framework agreements, provide justification for any duration exceeding 4 years",11,4
++,BT-111,    Framework Buyer Categories,Text,No,"Any additional categories of buyers participating in the framework agreement and not mentioned by name (e.g. ""all hospitals in the Tuscany region"").",O,new term overall,,11,4
++,BT-766,    Dynamic Purchasing System,Code,No,"Whether a dynamic purchasing system is involved and, in case of central purchasing bodies, whether it can be used by buyers not listed in this notice.",M,IV.1.3.2.1,The dynamic purchasing system might be used by additional purchasers,11,4
++,BT-767,    Electronic Auction,Indicator,No,An electronic auction is used.,O,IV.1.6.1,An electronic auction will be used     ,11,4
++,BT-123,    Electronic Auction URL,URL,No,The internet address of the electronic auction.,O,new term overall,,11,4
++,BT-122,    Electronic Auction Description,Text,No,Any additional information about the electronic auction.,O,IV.1.6.2,Additional information about electronic auction:,11,4
+,BG-100,Communication,-,Yes,"General information about communication with the buyer(s). This information may differ per lot. In case of a prior information notice used only for information, this information may differ per part of the notice that may later become a lot or a self-standing procedure.",CM,---,,11,4
++,BT-13712,    Communication Lot Identifier,Identifier,Yes,"An identifier of one or more lots. In case of PINs used only for information, the identifier of one or more parts of the notice that may later become lots or a self-standing procedures.  The information in the communication section refers to this lot (or part) or these lots (or parts).",CM,new term,,11,4
++,BT-632,    Tool Name,Text,No,The name of the electronic tool or device used for electronic communication.,O,new term overall,,11,4
++,BT-724,    Tool Atypical,Indicator,No,Electronic communication requires the use of tools and devices that are not generally available.,O,new term overall,,11,4
++,BT-124,    Tool Atypical URL,URL,Yes,Electronic communication requires the use of tools and devices that are not generally available. The uniform resource locator (e.g. the web address) which gives unrestricted and full direct access to these tools and devices.,O,I.3.5,"Electronic communication requires the use of tools and devices that are not generally available. Unrestricted and full direct access to these tools and devices is possible, free of charge, at: (URL)",11,4
++,BT-631,    Dispatch Invitation Interest,Date,No,The estimated date of dispatch of the invitations to confirm interest.,O,new term overall,,11,4
++,BT-130,    Dispatch Invitation Tender,Date,No,The estimated date of dispatch of the invitations to submit tenders in two (or more) stage procedures.,O,IV.2.2,Time limit for the receipt of applications for an invitation to tender or to negotiate ,11,4
++,BT-99,    Review Deadline Description,Text,No,The description of the time limits for review procedures.,CM,VI.4.3,Review procedure,11,4
+,BG-101,Procurement Documents,-,Yes,"Information about the procurement documents. This information may differ per lot. In case of a prior information notice used only for information, this information may differ per part of the notice that may later become a lot or a self-standing procedure.",O,---,,11,4
